"COMMUNITY AREA NAME","CENSUS BLOCK","BUILDING TYPE","BUILDING_SUBTYPE","KWH JANUARY 2010","KWH FEBRUARY 2010","KWH MARCH 2010","KWH APRIL 2010","KWH MAY 2010","KWH JUNE 2010","KWH JULY 2010","KWH AUGUST 2010","KWH SEPTEMBER 2010","KWH OCTOBER 2010","KWH NOVEMBER 2010","KWH DECEMBER 2010","TOTAL KWH","ELECTRICITY ACCOUNTS","ZERO KWH ACCOUNTS","THERM JANUARY 2010","THERM FEBRUARY 2010","THERM MARCH 2010","TERM APRIL 2010","THERM MAY 2010","THERM JUNE 2010","THERM JULY 2010","THERM AUGUST 2010","THERM SEPTEMBER 2010","THERM OCTOBER 2010","THERM NOVEMBER 2010","THERM DECEMBER 2010","TOTAL THERMS","GAS ACCOUNTS","KWH TOTAL SQFT","THERMS TOTAL SQFT","KWH MEAN 2010","KWH STANDARD DEVIATION 2010","KWH MINIMUM 2010","KWH 1ST QUARTILE 2010","KWH 2ND QUARTILE 2010","KWH 3RD QUARTILE 2010","KWH MAXIMUM 2010","KWH SQFT MEAN 2010","KWH SQFT STANDARD DEVIATION 2010","KWH SQFT MINIMUM 2010","KWH SQFT 1ST QUARTILE 2010","KWH SQFT 2ND QUARTILE 2010","KWH SQFT 3RD QUARTILE 2010","KWH SQFT MAXIMUM 2010","THERM MEAN 2010","THERM STANDARD DEVIATION 2010","THERM MINIMUM 2010","THERM 1ST QUARTILE 2010","THERM 2ND QUARTILE 2010","THERM 3RD QUARTILE 2010","THERM MAXIMUM 2010","THERMS SQFT MEAN 2010","THERMS SQFT STANDARD DEVIATION 2010","THERMS SQFT MINIMUM 2010","THERMS SQFT 1ST QUARTILE 2010","THERMS SQFT 2ND QUARTILE 2010","THERMS SQFT 3RD QUARTILE 2010","THERMS SQFT MAXIMUM 2010","TOTAL POPULATION","TOTAL UNITS","AVERAGE STORIES","AVERAGE BUILDING AGE","AVERAGE HOUSESIZE","OCCUPIED UNITS","OCCUPIED UNITS PERCENTAGE","RENTER-OCCUPIED HOUSING UNITS","RENTER-OCCUPIED HOUSING PERCENTAGE","OCCUPIED HOUSING UNITS"
"Near North Side","170310818002021","Commercial","Commercial",,,,,,,,,,,,,,,"0","1,744","1,511","1,164","800","554","334","296","259","299","397","571","1,230","9,159","5",,"22,100",,,,,,,,,,,,,,,"9,159",,"9,159","9,159","9,159","9,159","9,159","22,100",,"22,100","22,100","22,100","22,100","22,100","0","0","6","119","0","0",,"0",,"0"
"Near North Side","170310801004004","Commercial","Commercial","715,681","617,436","394,468","174,066","247,050","277,598","275,899","281,530","161,036","217,122","632,337","948,260","4,942,483","108","8",,,,,,,,,,,,,,,"317,765",,"4,942,483",,"4,942,483","4,942,483","4,942,483","4,942,483","4,942,483","317,765",,"317,765","317,765","317,765","317,765","317,765",,,,,,,,,,,,,,,"158","112","1","0","1.76","90","0.8036","10","0.111","90"
"Near North Side","170310804001003","Residential","Multi < 7","1,959","2,039","1,647","1,504","1,790","3,340","4,368","4,376","2,426","3,208","2,236","3,536","32,429","4","2","1,016","955","608","349","170","78","36","59","35","50","205","740","4,301","4","5,804","5,804","32,429",,"32,429","32,429","32,429","32,429","32,429","5,804",,"5,804","5,804","5,804","5,804","5,804","4,301",,"4,301","4,301","4,301","4,301","4,301","5,804",,"5,804","5,804","5,804","5,804","5,804","36","18","3","116","2","18","1","12","0.667","18"
"Near North Side","170310810005005","Commercial","Commercial",,,,,,,,,,,,,,,"2","2,076","2,296","1,611","738","366","195","69","61","118","583","1,044","2,040","11,197","Less than 4",,"12,259",,,,,,,,,,,,,,,"11,197",,"11,197","11,197","11,197","11,197","11,197","12,259",,"12,259","12,259","12,259","12,259","12,259","299","238","1","0","1.43","209","0.8782","201","0.962","209"
"Near North Side","170310815002006","Commercial","Commercial","1,351,588","1,229,157","943,203","864,062","954,775","985,083","1,126,242","1,088,258","986,930","924,947","1,092,475","1,577,138","13,123,858","27","10",,,,,,,,,,,,,,,"494,300",,"13,123,858",,"13,123,858","13,123,858","13,123,858","13,123,858","13,123,858","494,300",,"494,300","494,300","494,300","494,300","494,300",,,,,,,,,,,,,,,"0","0","40","21","0","0",,"0",,"0"
"Near North Side","170310817001005","Residential","Multi < 7",,,,,,,,,,,,,,,"0","433","383","219","89","12","6","12","14","6","8","88","298","1,568","Less than 4",,"1,200",,,,,,,,,,,,,,,"1,568",,"1,568","1,568","1,568","1,568","1,568","1,200",,"1,200","1,200","1,200","1,200","1,200","10","6","2","129","2","5","0.8332","3","0.6","5"
"Near North Side","170310804003007","Commercial","Multi 7+",,,,,,,,,,,,,,,"1","1,059","1,025","669","365","233","118","98","109","86","94","223","833","4,912","6",,"7,329",,,,,,,,,,,,,,,"4,912",,"4,912","4,912","4,912","4,912","4,912","7,329",,"7,329","7,329","7,329","7,329","7,329","137","62","3","124","2.32","59","0.9516","24","0.407","59"
"Near North Side","170310818002020","Commercial","Commercial","27,754","25,837","21,459","20,345","29,124","40,802","45,831","45,930","33,329","24,268","27,101","33,808","375,588","10","3",,,,,,,,,,,,,,,"4,987",,"375,588",,"375,588","375,588","375,588","375,588","375,588","4,987",,"4,987","4,987","4,987","4,987","4,987",,,,,,,,,,,,,,,"0","0","1","0","0","0",,"0",,"0"
"Near North Side","170310818002032","Commercial","Commercial","7,478","6,775","7,444","7,742","13,667","18,624","19,875","19,744","13,083","10,108","9,169","10,179","143,888","10","4","667","521","323","129","57","2",,,,"6","58","635","2,398","5","36,900","36,900","143,888",,"143,888","143,888","143,888","143,888","143,888","36,900",,"36,900","36,900","36,900","36,900","36,900","2,398",,"2,398","2,398","2,398","2,398","2,398","36,900",,"36,900","36,900","36,900","36,900","36,900","0","0","6","21","0","0",,"0",,"0"
"Near North Side","170310818002045","Commercial","Commercial","37,061","36,801","37,930","39,928","49,012","66,125","60,351","58,491","67,028","42,886","42,315","39,031","576,959","Less than 4","1",,,,,,,,,,,,,,,"58,899",,"576,959",,"576,959","576,959","576,959","576,959","576,959","58,899",,"58,899","58,899","58,899","58,899","58,899",,,,,,,,,,,,,,,"14","8","6","0","1.75","8","1","0","0","8"
